Puzzle Solution BFS A*_h1 A*_h2
ABCDEFG#IJKHMNOL 2 12 6 6
ABCDEFGHIJ#LMNKO 2 24 7 7
ABCDEFGHIJKLM#NO 2 23 6 6
ABCDEFG#IJKHMNOL 2 12 6 6
ABCDEFGHIJ#KMNOL 2 34 7 7
ABCDEFGHIJKLM#NO 2 23 6 6
ABCDEFGHIJ#LMNKO 2 24 7 7
ABCDEFGHIJKLM#NO 2 23 6 6
ABCDEFG#IJKHMNOL 2 12 6 6
ABCDEFGHIJ#KMNOL 2 34 7 7
AB#CEFGDIJKHMNOL 4 110 9 9
AB#CEFGDIJKHMNOL 4 110 9 9
AB#DEFCGIJKHMNOL 4 84 11 11
ABCDEFGHINJLM#KO 4 84 12 12
ABCDEFGHIJLOMNK# 4 60 12 10
ABCDEFGHIJOKMNL# 4 84 12 10
ABCDE#GHIFKLMJNO 4 93 12 12
AB#DEFCGIJKHMNOL 4 84 11 11
ABCDEFGH#JKLIMNO 4 89 9 9
ABCDEFGH#IKLMJNO 4 108 11 11
#AGCEBFDIJKHMNOL 8 1530 18 18
AFBCE#HDIJGKMNOL 8 1729 20 20
EABCIFGD#JKHMNOL 8 1214 16 16
ABCDEFGH#MKLJINO 8 1594 40 32
ABCDEFL#IJHGMNKO 8 1547 56 38
ABCDE#GHMFJKNIOL 8 1793 29 27
ABCDFGKHEI#LMJNO 8 1823 22 22
ABCDEFGHMIJLNKO# 8 1802 26 20
EACDB#GHIFKLMJNO 8 2253 30 28
AFBCIEGD#JKHMNOL 8 1280 18 18
ABDHEFGCIJ#LMNKO 8 1839 46 33
FBDHAEC#IJGKMNOL 12 23196 108 62
ABCDEGOHIJFLM#KN 14 112287 876 232
EC#DBAJHIGFLMNKO 14 121376 294 102
BGDHACF#ENJLIMKO 16 348499 113 52
BCGDAFJH#EKLINMO 16 522635 651 184
BCDHAFGOEJLKIMN# 16 254936 151 35
AFBGEJKC#NHDIMOL 16 403830 371 36
EB#CFJGDAIKHMNOL 16 516360 782 315
FCGDBAKH#EJLIMNO 16 543375 493 66
BGFCAJLDENKHI#MO 17 1000000 1740 230
AFCGIEBD#NKHJMOL 17 1000000 22155 2936
